head_no|company_code1|company_code2|company_name|bord_flag|pt
"030013304020046"|"99000000"|"F1008933000019"|"太平科技保险总公司"|"10"|"20191013000000"
"030013304020046"|"33000000"|"F1008933000020"|"浙江分公司"|"10"|"20191013000000"
"030013304020046"|"99600000"|"F1008933000019"|"总经理室"|"10"|"20191013000000"
"030013304020046"|"33600000"|"F1008933000020"|"浙江分公司总经理室"|"10"|"20191013000000"
"030013304020046"|"33610000"|"F1008933000020"|"浙江分公司综合管理部"|"10"|"20191013000000"
"030013304020046"|"33620000"|"F1008933000020"|"浙江分公司财务部"|"10"|"20191013000000"
"030013304020046"|"33630000"|"F1008933000020"|"浙江分公司运营管理部"|"10"|"20191013000000"
"030013304020046"|"33640000"|"F1008933000020"|"浙江分公司销售管理部"|"10"|"20191013000000"
"030013304020046"|"99610000"|"F1008933000019"|"董事会办公室"|"10"|"20191013000000"
"030013304020046"|"99620000"|"F1008933000019"|"财务部"|"10"|"20191013000000"
"030013304020046"|"99630000"|"F1008933000019"|"党委办公室/行政办公室"|"10"|"20191013000000"
"030013304020046"|"99640000"|"F1008933000019"|"人力资源部/党委组织部/工会办公室"|"10"|"20191013000000"
"030013304020046"|"99650000"|"F1008933000019"|"风险及法律合规部"|"10"|"20191013000000"
"030013304020046"|"99660000"|"F1008933000019"|"战略企划部"|"10"|"20191013000000"
"030013304020046"|"99670000"|"F1008933000019"|"投资管理部"|"10"|"20191013000000"
"030013304020046"|"99680000"|"F1008933000019"|"运营技术部"|"10"|"20191013000000"
"030013304020046"|"99690000"|"F1008933000019"|"产品精算部"|"10"|"20191013000000"
"030013304020046"|"99700000"|"F1008933000019"|"运营管理部"|"10"|"20191013000000"
"030013304020046"|"99710000"|"F1008933000019"|"再保险部"|"10"|"20191013000000"
"030013304020046"|"99720000"|"F1008933000019"|"营销管理部"|"10"|"20191013000000"
"030013304020046"|"99730000"|"F1008933000019"|"业务拓展部"|"10"|"20191013000000"
"030013304020046"|"99740000"|"F1008933000019"|"客户服务部（虚拟）"|"10"|"20191013000000"
"030013304020046"|"99750000"|"F1008933000019"|"公估公司（虚拟）"|"10"|"20191013000000"
"030013304020046"|"99750001"|"F1008933000019"|"民太安"|"10"|"20191013000000"
"030013304020046"|"99750002"|"F1008933000019"|"恒量"|"10"|"20191013000000"
"030013304020046"|"99750003"|"F1008933000019"|"尹天"|"10"|"20191013000000"
"030013304020046"|"99750004"|"F1008933000019"|"华泰"|"10"|"20191013000000"
"030013304020046"|"99750005"|"F1008933000019"|"泛华"|"10"|"20191013000000"
"030013304020046"|"99750006"|"F1008933000019"|"中衡"|"10"|"20191013000000"
